trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
37,False,"{'a': 0.75, 'e': 0.02702702702702703}",20,9,-17.19764885045064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.75, 'e': 0.02631578947368421}",25,11,27.858947185199124,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.75, 'e': 0.02564102564102564}",35,5,51.74685583317373,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.75, 'e': 0.025}",25,1,-3.0251975266787636,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 0}",1
41,False,"{'a': 0.75, 'e': 0.024390243902439025}",20,14,12.133831005925394,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.75, 'e': 0.023809523809523808}",30,17,24.82363207878521,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.75, 'e': 0.023255813953488372}",20,11,17.861441340308644,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.75, 'e': 0.022727272727272728}",25,8,32.312901113699176,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.75, 'e': 0.022222222222222223}",30,12,30.867073732195113,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.75, 'e': 0.021739130434782608}",30,14,28.732196853694262,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.75, 'e': 0.02127659574468085}",20,9,21.417151609396495,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.75, 'e': 0.020833333333333332}",20,0,34.81995014862458,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.75, 'e': 0.02040816326530612}",25,14,19.200387116109976,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.75, 'e': 0.02}",25,14,20.582925483232835,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.75, 'e': 0.0196078431372549}",20,13,13.127964259806143,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.75, 'e': 0.019230769230769232}",20,16,8.237380922511655,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.75, 'e': 0.018867924528301886}",20,0,-26.54568063917413,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
